"Bill of Material for "
"On 10/19/2017 at 2:40:21 PM"

"Comment","Pattern","Quantity","Components"

"06p","610106249121","1","J7","WR-PHD 2.54 mm Pin Header - SMT Type Double Row Right Angled, 06p"
"10p","610110249121","1","J6","WR-PHD 2.54 mm Pin Header - SMT Type Double Row Right Angled, 10p"
"16MHz","PCBComponent_1","1","X2","Crystal For all Crystal 2pin."
"52Mhz","Crystal 52MHz","1","X1","Crystal For all Crystal 2pin."
"Antenna","Antenna","1","A1",""
"AP2112 - SOT25","AP2112 - SOT25","1","U6",""
"approved sub OK","SMD-0603c","24","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C17, C18, C20, C21, C22, C25, C27, C30, C31, C32, C33","Capacitor SMD Cer 1nF 10% 100V X7R 0603"
"ATmega2560-16AU","100A_N","1","U1","8-bit AVR Microcontroller, 4.5-5.5V, 256KB Flash, 4KB EEPROM, 8KB SRAM, 86 GPIO pins, 100-pin TQFP, Industrial Grade (-40°C to 85°C), Pb-Free"
"Bluetooth HM-12","HM-12","1","U5",""
"EInk LCD Module","EInk_Module","1","H2",""
"FT231XS-U","SSOP-20_N","1","U8","USB to Full-Handshake UART Interface Chip, UHCI/OHCI/EHCI Compatible, USB 2.0 Compatible, -40 to +85 degC, 20-Pin SSOP, Pb-Free, Tube"
"Inductor","0603","2","L1, L2","Inductor"
"LED SMD","SM-LED-0805-Blue","5","L3.3V, LRX0, LTX0, USER1, USER2",""
"Res3","J1-0603","11","R3, R4, R6, R7, R19, R20, R21, R25, R26, R27, R28","Resistor"
"SW","Kha_Button","33",",, A, B, BACKSPACE, C, D, DOT, E, ENTER, F, G, H, I, J, K, L, M, N, O, P, Q, R, RESET, S, SHIFT, SPACE, T, U, V, W, X, Y, Z","Switch button 4 pin"
"SX1280","SX1280_QFN24 4x4","1","U2",""
"USB Micro Type B","ZIF_CONN_4P_TE84953-4","1","J1","Connector SMD USB Micro Type B middle mount"
